id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39655851,Funky Family Fun House in Sawtell,40773463,Kim And Kat,,Coffs Harbour,-30.37271,153.09054,Entire home/apt,795,5,11,2022-01-27,0.32,4,4,4,Exempt
39656244,Charliey n Hyde Elegance in the heart of Bellingen,304769275,Jasmin,,Bellingen,-30.45165,152.89818,Entire home/apt,280,3,62,2022-09-25,1.77,1,284,16,PID-STRA-6644
39657205,Bush setting by the sea,136813047,Kim,,Port Macquarie-Hastings,-31.63668,152.76441,Entire home/apt,250,2,97,2022-10-24,2.70,1,104,31,PID-STRA-14675
39682197,Comfy stop over.,17656684,Jenny,,Nambucca Valley,-30.58899,153.00573,Private room,84,1,4,2022-10-02,0.11,1,3,3,PID-STRA-35368
39700061,Stroll to Bennetts Beach,54444093,Lisa,,Mid-Coast,-32.67283,152.18056,Entire home/apt,139,2,4,2021-12-31,0.11,13,331,1,PID-STRA-23420
39704456,Beachfront 3 - Prime location for relaxation,35458673,Alicia,,Coffs Harbour,-30.37127,153.10202,Entire home/apt,319,2,93,2022-10-15,2.60,1,273,28,PID-STRA-24688-3
39705249,Grass Trees on Skyline,303577122,Josie & Joel,,Kempsey,-31.19058,152.97158,Entire home/apt,170,2,87,2022-10-31,2.37,1,47,38,PID-STRA-10812
39705422,17 Kurrawong Ave,54444093,Lisa,,Mid-Coast,-32.66695,152.17516,Entire home/apt,143,2,6,2022-03-19,0.21,13,334,4,PID-STRA-23450
39705809,The Breakers 13,305163448,Forster Holiday Rentals,,Mid-Coast,-32.17969,152.51466,Entire home/apt,89,1,6,2020-11-20,0.21,81,295,0,PID-STRA-21280
39728969,Fairholme 12,305163448,Forster Holiday Rentals,,Mid-Coast,-32.18158,152.49786,Entire home/apt,177,1,1,2019-12-27,0.03,81,72,0,PID-STRA-17423
39730492,Fairholme 5,305163448,Forster Holiday Rentals,,Mid-Coast,-32.181634412827,152.49767676053,Entire home/apt,72,1,4,2022-03-31,0.14,81,274,1,PID-STRA-22995
39757533,The Fisherman's Cottage - Genuine Ocean Front,50244030,Djon,,Mid-Coast,-32.18266,152.53041,Entire home/apt,400,1,9,2022-01-20,0.26,7,220,5,PID-STRA-18231
39799567,Pandanas Cottage,44463016,John,,Coffs Harbour,-30.21081,153.15185,Entire home/apt,205,1,83,2022-10-29,2.37,1,94,50,PID-STRA-2102
39803090,Minnibah Home - 5 mins walk to One Mile Beach,18771202,Emilia,,Mid-Coast,-32.19488,152.53388,Entire home/apt,364,3,2,2020-01-12,0.06,2,43,0,PID-STRA-29351
39803360,Chalmers Street Beach House @ Flynns Beach,71448446,Stew And Ness,,Port Macquarie-Hastings,-31.44674,152.92357,Entire home/apt,174,2,87,2022-10-15,2.45,1,138,24,PID-STRA-8342-1
39826206,Farm Stay - 3 bedrooms - near Raymond Terrace,306025462,Maria,,Mid-Coast,-32.59817,151.89482,Private room,180,1,50,2022-10-02,1.39,1,130,16,PID-STRA-22832
39871587,Semaphore Beach House,221075043,Tea Gardens Real Estate,,Mid-Coast,-32.67736,152.18224,Entire home/apt,214,3,6,2022-09-06,0.28,86,300,4,PID-STRA-21145
39872367,PALM SPRINGS – 2 BED + PRIVATE POOL – COFFS HABOUR,172456810,Dream Casa Properties,,Coffs Harbour,-30.2961,153.10671,Entire home/apt,300,3,19,2022-10-15,1.82,8,166,19,PID-STRA-19137
39897323,'Guunuwa' tent site,21753013,Christina,,Nambucca Valley,-30.58484,152.99187,Private room,31,2,12,2021-12-29,0.34,3,85,1,PID-STRA-18358
39898819,Emerald Beach Hideaway,292395418,Rhonda,,Coffs Harbour,-30.17088,153.16525,Entire home/apt,83,2,89,2022-10-22,2.47,1,120,15,PID-STRA-25364
39906937,Three Bedroom Boutique Apartment - 13 First Avenue,293851402,Michael & John,,Coffs Harbour,-30.36962,153.09959,Entire home/apt,507,1,32,2022-05-29,0.93,3,134,11,PID-STRA-9150-4
39919575,Riverside Luxury,244069134,Brodie,,Port Macquarie-Hastings,-31.41201,152.896,Entire home/apt,558,2,113,2022-10-30,3.23,1,299,39,PID-STRA-6880-1
39922080,Mobys Beach House 11,27077736,Pacific Palms,,Mid-Coast,-32.34526,152.53893,Entire home/apt,173,1,28,2022-09-24,1.00,116,262,9,PID-STRA-15205
39922467,Mobys Beach House 29,27077736,Pacific Palms,,Mid-Coast,-32.34563,152.53898,Entire home/apt,211,1,16,2022-07-31,0.47,116,292,6,PID-STRA-18959
39947437,Central Waterview Apt ★Lift ★Free Parkng ★WIFI,29308476,Jessie,,Port Macquarie-Hastings,-31.43299,152.90464,Entire home/apt,194,2,157,2022-10-25,4.44,1,25,37,PID-STRA-14112-1
39948710,Seaesta Scotts Head Beach House,227352659,Louise,,Nambucca Valley,-30.74629,152.99334,Entire home/apt,429,3,18,2022-10-24,0.51,1,77,4,PID-STRA-1417
39950993,The Salty Shack,7811503,Rhys & Jess,,Kempsey,-31.19424,152.9744,Entire home/apt,141,1,257,2022-10-21,7.10,2,48,85,PID-STRA-13852-2
39954357,A Waterfront Haven with Private Jetty and Mooring,305163448,Forster Holiday Rentals,,Mid-Coast,-32.2168,152.51727,Entire home/apt,466,1,6,2021-12-26,0.20,81,341,1,PID-STRA-684
39990810,Red Door Home,32098803,Jo,,Port Macquarie-Hastings,-31.46767,152.92069,Private room,58,1,120,2022-11-02,3.36,1,122,36,PID-STRA-5883
40010975,Close to Town Pet Friendly House,308564336,Jackie,,Port Macquarie-Hastings,-31.44324,152.90948,Entire home/apt,300,4,7,2022-05-03,0.20,1,0,2,PID-STRA-7834
40038133,Creel At Hat Head - 8 Hutcheson Street,190222124,Elders Lifestyle Group,,Kempsey,-31.05023,153.04646,Entire home/apt,197,7,1,2021-01-15,0.05,57,84,0,PID-STRA-21803
40043475,Two Bedroom Boutique Apartment - 13 First Avenue,293851402,Michael & John,,Coffs Harbour,-30.36962,153.09959,Entire home/apt,429,1,107,2022-10-31,2.98,3,149,34,PID-STRA-9150-4
40045890,Two & Half Bedroom Boutique Apartment 13 First Ave,293851402,Michael & John,,Coffs Harbour,-30.369623,153.099594,Entire home/apt,487,1,35,2022-10-06,1.00,3,129,10,PID-STRA-9150-4
40071896,Bella Vista at Lighthouse Beach,309089390,Caroline,,Port Macquarie-Hastings,-31.47965,152.92396,Entire home/apt,166,1,109,2022-10-15,3.16,1,350,37,PID-STRA-5074
40091324,Hawks Nest Townhouse,54444093,Lisa,,Mid-Coast,-32.67574,152.18204,Entire home/apt,157,2,6,2022-10-04,0.24,13,333,4,PID-STRA-23439-3
40114379,Summer Salt Beach Shack,11252878,Julie,,Coffs Harbour,-30.06078,153.19794,Entire home/apt,300,90,5,2020-02-09,0.14,1,14,0,
40121781,Location Location - Flynns Beach,309470002,Benno,,Port Macquarie-Hastings,-31.44916,152.92139,Entire home/apt,106,90,10,2020-02-15,0.29,1,122,0,
40141644,"Beausoleil - French for ""Beautiful Sun""",13325010,Melinda,,Mid-Coast,-32.34319,152.53806,Entire home/apt,400,7,7,2022-04-22,0.20,1,23,3,PID-STRA-5048-2
40161335,A 200m stroll across the park to the beach,37715925,Elizabeth,,Port Macquarie-Hastings,-31.43053,152.91678,Entire home/apt,195,7,101,2022-10-07,2.83,1,0,24,PID-STRA-10372-3
40162761,Woodridge Park - Standard Room,265018261,Kevin And Jenny,,Port Macquarie-Hastings,-31.48906,152.63695,Private room,110,1,41,2022-07-16,1.14,5,279,1,Exempt
40182508,"CEDAR VIEW COTTAGE -  Peaceful mini farm stay, 20 minutes from beaches",188616506,Mid North Coast Holidays,,Port Macquarie-Hastings,-31.59078,152.70682,Entire home/apt,175,90,6,2021-05-09,0.22,60,331,0,PID-STRA-23912-3
40184115,Woodridge Park - Basic Room,265018261,Kevin And Jenny,,Port Macquarie-Hastings,-31.49089,152.63696,Private room,100,1,29,2022-08-21,0.83,5,346,9,Exempt
40184398,Woodridge Retreat - Family Room 1,265018261,Kevin And Jenny,,Port Macquarie-Hastings,-31.48954,152.63593,Private room,133,1,22,2022-02-13,0.63,5,95,2,Exempt
40184597,Woodridge Park - Family Room 2,265018261,Kevin And Jenny,,Port Macquarie-Hastings,-31.49085,152.63609,Private room,133,1,37,2022-08-21,1.06,5,276,4,Exempt
40186829,Comfortable Family Home with 10m swimming pool,161895971,Carol,,Coffs Harbour,-30.30222,153.11577,Entire home/apt,700,7,2,2021-12-31,0.18,1,13,2,PID-STRA-25472
40217480,Peace and Quiet Near the Beach,206105865,Ken,,Port Macquarie-Hastings,-31.43475,152.92287,Entire home/apt,230,7,13,2022-10-07,1.24,1,77,13,PID-STRA-24381-2
40262112,Little Palms - 2 Bedroom Cabin,247355398,Jess,,Port Macquarie-Hastings,-31.55203,152.85293,Entire home/apt,209,1,14,2022-06-20,0.39,6,75,6,Exempt
40264143,"Burkeys, 5 Main Street",159529466,Elders,,Kempsey,-31.18912,152.97468,Entire home/apt,177,2,13,2022-09-11,0.45,145,227,2,PID-STRA-23777
40264152,"Corakuna, 3 Korogora Street",159529466,Elders,,Kempsey,-31.19177,152.97581,Entire home/apt,494,2,3,2021-12-11,0.14,145,205,1,PID-STRA-23810
40269755,Beach Break,66855017,MidCoast Holiday Rentals,,Mid-Coast,-31.99158,152.57159,Entire home/apt,421,5,18,2021-12-11,0.53,25,163,3,PID-STRA-12792
40287879,"WAVES ON MAIN, 4/1 MAIN STREET",159529466,Elders,,Kempsey,-31.19066,152.97362,Entire home/apt,213,2,6,2021-11-07,0.21,145,293,1,PID-STRA-19027
40289344,Million dollar view from huge relaxing deck,26281484,Fiona,,Port Macquarie-Hastings,-31.46515,152.91923,Entire home/apt,400,3,23,2022-10-06,0.82,2,12,12,PID-STRA-3973
40290925,"""Tumbi Umbi"" A cosy space,  800 metres to beach!",236352234,Jeffrey,,Nambucca Valley,-30.64053,153.0098,Private room,85,2,16,2022-04-17,0.46,1,149,4,PID-STRA-10948
40291289,Pacific Towers 603,100088347,Coffs Harbour Holiday Rentals,,Coffs Harbour,-30.2837413,153.139498,Entire home/apt,323,2,3,2022-01-21,0.13,35,324,1,PID-STRA-12092
40294134,Very Cool Studio Apartment ~ Creek & Beach ~ WIFI~,264347084,Jonathan,,Coffs Harbour,-30.35203,153.1004,Entire home/apt,116,1,181,2022-10-13,5.16,1,113,50,Exempt
40349932,"Mi Casa Su Casa - Cozy, Bright & Airy Beach House",311803324,Helen,,Mid-Coast,-31.86887,152.69138,Entire home/apt,150,2,93,2022-10-25,2.67,1,300,46,PID-STRA-27364
40360170,Victoria Rocks Netflix Jetty CBD Stadium Golf,234470806,Roderick,,Coffs Harbour,-30.30419,153.12122,Entire home/apt,170,2,162,2022-10-13,4.63,3,124,56,PID-STRA-820
40376085,"Beachcomber, 27 Dulconghi Street",159529466,Elders,,Kempsey,-31.19415,152.97648,Entire home/apt,204,2,13,2022-08-28,0.51,145,276,4,PID-STRA-19325
40405378,Bangalee   - Byo Linen,35435426,Betty,,Mid-Coast,-32.348934,152.53873,Entire home/apt,285,1,2,2021-12-22,0.08,44,337,1,PID-STRA-18700
40405409,BOOF'S AT BLUEYS - PET FRIENDLY - LINEN SUPPLIED,35435426,Betty,,Mid-Coast,-32.34858,152.5366,Entire home/apt,157,1,7,2021-03-28,0.24,44,291,0,PID-STRA-12937
40405438,BREEZA ON BOOM  -  BYO LINEN,35435426,Betty,,Mid-Coast,-32.34463,152.53946,Entire home/apt,171,1,0,,,44,313,0,PID-STRA-17310
40405462,BUSH 2 BEACH - BYO LINEN,35435426,Betty,,Mid-Coast,-32.33266,152.53004,Entire home/apt,250,1,9,2022-05-03,0.27,44,312,5,PID-STRA-15125
40405484,FAR SHORE - BYO LINEN,35435426,Betty,,Mid-Coast,-32.436127,152.53522,Entire home/apt,271,1,7,2021-11-07,0.28,44,243,1,PID-STRA-17341
40405526,PACIFIC PALMS  - BYO LINEN,35435426,Betty,,Mid-Coast,-32.33186,152.53271,Entire home/apt,128,1,9,2022-07-12,0.28,44,309,1,PID-STRA-17370
40405554,SEAMIST At Blueys - BYO LINEN,35435426,Betty,,Mid-Coast,-32.352036,152.53499,Entire home/apt,192,1,4,2020-11-14,0.12,44,333,0,PID-STRA-18704
40405574,SENI RETREAT - BYO LINEN,35435426,Betty,,Mid-Coast,-32.34339,152.53941,Entire home/apt,134,1,7,2022-09-30,0.26,44,338,5,PID-STRA-22255
40405582,THE BEACH HOUSE  - BYO LINEN,35435426,Betty,,Mid-Coast,-32.330975,152.53331,Entire home/apt,221,1,13,2022-04-18,0.46,44,287,3,PID-STRA-17399
40413717,Forster Beach House opposite One Mile Beach,134181392,Suzanne,,Mid-Coast,-32.19289,152.53543,Entire home/apt,250,2,50,2022-10-30,1.44,2,58,18,PID-STRA-6354-1
40414195,The Bucca Hideaway- Bush & Beach experience,224875546,Corinne,,Coffs Harbour,-30.18391,153.09776,Entire home/apt,250,3,72,2022-10-15,2.13,1,107,12,PID-STRA-6689
40425665,"Illalangi - views, pool, walk to beach",43662800,Susan,,Port Macquarie-Hastings,-31.64241,152.83554,Entire home/apt,402,1,47,2022-10-22,1.60,67,211,12,PID-STRA-15761
40434134,Watonga Rocks - beach and restaurant central,43662800,Susan,,Port Macquarie-Hastings,-31.47897,152.92786,Entire home/apt,268,1,26,2022-10-04,0.75,67,38,8,PID-STRA-13447
40434462,Seaview Getaway - beachfront family home,43662800,Susan,,Port Macquarie-Hastings,-31.65183,152.82837,Entire home/apt,208,1,40,2022-10-21,1.17,67,247,27,PID-STRA-13440
40451091,"Beachside Studio - walk to the beach, Wifi+Netflix",45849975,Kathy,,Port Macquarie-Hastings,-31.45764,152.92976,Entire home/apt,134,1,84,2022-11-03,2.43,1,17,35,PID-STRA-10672-2
40453026,BRIDGESIDE RETREAT,188616506,Mid North Coast Holidays,,Port Macquarie-Hastings,-31.6582,152.79846,Entire home/apt,161,3,13,2022-09-25,0.38,60,311,1,PID-STRA-23041
40454078,Private Tropical  Paradise,312985279,Paul & Michelle,,Coffs Harbour,-30.32521,153.06333,Entire home/apt,103,1,84,2022-10-03,2.39,1,87,19,PID-STRA-22835
40458221,Serenity by the Sea,99403682,Erika,,Mid-Coast,-32.34464,152.5365,Entire home/apt,289,3,19,2022-10-02,0.55,1,236,6,PID-STRA-9643-7
40473966,Crescent Head - Killick Glen - a couple's retreat,56674059,Dave & Anne,,Kempsey,-31.19031,152.97855,Entire home/apt,210,1,108,2022-10-15,3.12,2,94,47,PID-STRA-7617
40514601,Brellas on the Beach,66855017,MidCoast Holiday Rentals,,Mid-Coast,-31.99453,152.56944,Entire home/apt,214,3,12,2022-04-18,0.36,25,163,2,PID-STRA-14310
40518973,"Arrawarra By the Sea - beach, pool, bush, wildlife",75317896,Jo,,Coffs Harbour,-30.05869,153.19092,Entire home/apt,264,3,82,2022-10-15,2.35,1,278,24,PID-STRA-1082
40519579,Boomeray @ Blueys,22638223,Shane,,Mid-Coast,-32.34629,152.53604,Entire home/apt,386,2,26,2022-09-17,0.75,1,97,7,PID-STRA-2026
40542468,Tall Gums Guesthouse,235381510,Jennifer,,Mid-Coast,-31.97326,151.9152,Entire home/apt,99,2,101,2022-10-21,2.88,1,32,30,PID-STRA-1966-2
40568511,Tiny House koala forest stopover just off highway,175612127,Annelies,,Coffs Harbour,-30.32869,153.08617,Entire home/apt,121,1,314,2022-10-31,9.01,7,79,116,Exempt
40597822,42StepsOceanView right across FlynnsBeach WiFi=NBN,145106412,Nicole,,Port Macquarie-Hastings,-31.44425,152.92557,Entire home/apt,161,2,130,2022-10-28,3.74,1,56,55,PID-STRA-7183
40598415,"Charming 2 story family holiday house, Valla Beach",314034201,Kim,,Nambucca Valley,-30.58956,153.0094,Entire home/apt,195,1,54,2022-02-08,1.54,1,33,6,PID-STRA-2473
40603573,Family friendly beach side accomodation,13153543,Carolyn,,Coffs Harbour,-30.28616,153.13634,Entire home/apt,600,5,8,2022-10-03,0.23,1,135,3,PID-STRA-10833-6
40617880,AQUA VIEW - BYO LINEN,35435426,Betty,,Mid-Coast,-32.34712,152.5391,Entire home/apt,228,1,7,2022-10-07,0.21,44,313,1,PID-STRA-15069
40618068,"Adrift at Dolphin Cove Apt 5 - riverfront, modern",43662800,Susan,,Port Macquarie-Hastings,-31.64021,152.81787,Entire home/apt,312,1,11,2022-08-30,0.48,67,240,7,PID-STRA-15766
40618362,Ocean beach house nestled in the rainforest,82612753,Johanna,,Port Macquarie-Hastings,-31.46993,152.9316,Entire home/apt,140,2,32,2022-10-15,0.91,1,137,16,PID-STRA-4713
40619462,Dunbogan coastal  farm holiday,23011601,Angelique,,Port Macquarie-Hastings,-31.65015411376953,152.8158721923828,Entire home/apt,186,2,35,2022-10-16,1.00,1,330,3,PID-STRA-8319
40641037,River views 3 min to town aircon and. Pool,15162364,Sue,,Port Macquarie-Hastings,-31.43275,152.90386,Entire home/apt,200,5,68,2022-10-08,1.94,3,26,21,PID-STRA-13934-1
40642372,The Farmhouse Redbank,175365397,Ashley And Olly,,Port Macquarie-Hastings,-31.44317,152.74636,Entire home/apt,743,2,69,2022-10-23,1.99,1,35,26,PID-STRA-3899
40703161,"Beachpark 9, 9/58 Pacific Drive",159529466,Elders,,Port Macquarie-Hastings,-31.44556,152.92702,Entire home/apt,154,2,14,2022-03-05,0.49,145,307,4,PID-STRA-26710
40708344,H2O Holiday Apartments - Unit 13,188616506,Mid North Coast Holidays,,Port Macquarie-Hastings,-31.64019,152.8082,Entire home/apt,186,3,7,2022-09-05,0.20,60,264,4,PID-STRA-23044
40711016,Angelena Villa,97309690,McGrath Estate Agents,,Coffs Harbour,-30.35258,153.09792,Entire home/apt,176,3,3,2021-07-27,0.14,106,190,0,PID-STRA-14499-2
40711852,Diggers Beach Hideaway - prime beachside location!,47918227,Jane And John,,Coffs Harbour,-30.27012,153.14139,Entire home/apt,350,3,47,2022-10-06,1.34,1,145,9,PID-STRA-6651
40714615,Nambucca Valley Train Carriages Red carriage,167813625,Dave,,Nambucca Valley,-30.66586,152.92658,Entire home/apt,150,1,234,2022-10-23,6.69,3,330,92,Exempt
40735097,ILUKA  - BLUEYS BEACH -  BYO LINEN,35435426,Betty,,Mid-Coast,-32.34758,152.5371,Entire home/apt,128,1,15,2022-10-08,0.59,44,305,8,PID-STRA-15113
40735141,SPLASH- ELIZABETH BEACH  -  BYO LINEN,35435426,Betty,,Mid-Coast,-32.33392,152.53099,Entire home/apt,171,1,5,2020-08-23,0.15,44,346,0,PID-STRA-22249
40735252,Search at Sapphire,23041942,Lindy,,Coffs Harbour,-30.22645,153.14599,Entire home/apt,150,2,51,2022-07-13,1.46,1,0,10,PID-STRA-13978
40757535,Tiny Bee by the Sea,40773463,Kim And Kat,,Coffs Harbour,-30.37431,153.09044,Entire home/apt,70,1,94,2022-11-02,3.18,4,151,34,PID-STRA-18839
40759204,Blue Wren Chalet for Peace or Adventure,262474126,Christine,,Mid-Coast,-32.02498,152.41221,Entire home/apt,257,90,17,2021-10-16,0.58,1,181,0,PID-STRA-26178
40766460,Retro Cottage Flynns Beach,210268813,Darryn & Chau,,Port Macquarie-Hastings,-31.43996,152.92149,Entire home/apt,137,1,151,2022-10-27,4.28,2,133,81,PID-STRA-948-2
40805718,Dairy Song,317226740,Rebecca,,Mid-Coast,-32.10162,152.25081,Entire home/apt,160,2,37,2022-09-09,1.26,1,166,8,PID-STRA-12938
40829968,Private freestanding garden cottage,218320671,Des,,Coffs Harbour,-30.32668,153.06169,Entire home/apt,150,1,53,2021-02-16,1.52,1,5,0,PID-STRA-5606-2
40868988,Regatta 24,305163448,Forster Holiday Rentals,,Mid-Coast,-32.19224,152.51203,Entire home/apt,383,1,10,2021-12-14,0.29,81,352,1,PID-STRA-12391
40900904,Best of the Best - Garden Room in Eco Village,24056198,Reiner,,Coffs Harbour,-30.30752,153.12895,Private room,100,2,41,2022-09-25,1.18,1,40,9,PID-STRA-10687
40901253,Headland Home,318615186,Vince,,Mid-Coast,-32.18202,152.53351,Entire home/apt,264,3,73,2022-10-26,2.11,1,128,31,PID-STRA-5426
40948356,Lagoon Retreat: (19-26),319046189,Nicole,,Kempsey,-30.89059,153.06431,Entire home/apt,323,1,5,2022-06-16,0.17,2,170,1,Exempt
